id,sid,theta,k,c
309,308,-0.2956001,0.508128,0.999658
310,309,1.6743208,0.5015228,0.99877524
311,310,1.7527059,0.49713844,1.0004263
312,311,-0.4335394,0.49998525,1.0004054
313,312,0.8482198,0.5084239,1.0013247
314,313,-1.0458282,0.5049368,1.001434
315,314,-0.6935122,0.50057316,0.9995521
316,315,-0.30963504,0.50109094,1.000966
317,316,-0.5023458,0.497062,1.0012621
318,317,0.9650948,0.50052,1.0012647
319,318,-0.9273145,0.50539553,1.0009862
320,319,-1.0139201,0.4998177,1.0006711
321,320,-0.60225105,0.49998042,1.0008764
322,321,0.6710913,0.5022528,1.0005431
323,322,-1.3044817,0.50314724,1.000354
324,323,0.62144583,0.4965322,0.999705
325,324,-0.6179195,0.49583814,1.0012015
326,325,0.6499373,0.49770293,0.99822944
327,326,-0.7379305,0.5000323,0.9984777
328,327,-0.28731152,0.49821746,0.9985776
329,328,0.25252342,0.49365765,0.99990916
330,329,0.85548216,0.49819458,1.0010908
331,330,-0.6443906,0.4946004,1.0001915
332,331,0.72583014,0.4955584,1.0010298
333,332,0.23128074,0.4951347,0.99989176
334,333,1.9524043,0.49604437,0.99907434
335,334,1.5773319,0.49786806,0.99861383
336,335,-0.39400947,0.5063162,0.9992602
337,336,0.52073646,0.49552667,1.0002254
338,337,0.22299911,0.49798903,1.0013874
339,338,0.28232995,0.49765658,0.9984841
340,339,1.7251647,0.49378932,1.0014828
341,340,-0.7869659,0.5050915,1.0018095
342,341,0.386118,0.49695358,0.9992222
343,342,-0.4723545,0.5045781,1.0006524
344,343,0.09570764,0.49423623,1.0004319
345,344,2.163542,0.49440798,0.99989045
346,345,0.49914315,0.50147474,1.0023397
347,346,-0.67746365,0.49684107,0.99953717
348,347,0.20465495,0.499013,0.99811214
349,348,-0.49396408,0.499853,1.0013913
350,349,-0.9208325,0.49944532,0.9990675
351,350,0.077255964,0.49765882,1.0000244
352,351,-0.28067887,0.5057018,0.9989457
353,352,0.34467793,0.49554205,1.0000962
354,353,-0.122478686,0.50667536,1.0016682
355,354,-0.5185455,0.50348604,1.0007116
356,355,0.65458596,0.50364184,1.0010877
357,356,0.8974098,0.49629277,1.0003512
358,357,-0.1922333,0.49624658,1.0025089
359,358,0.69102204,0.50408775,1.0013422
360,359,0.9593162,0.49830988,1.0012622
361,360,0.0786768,0.49267682,1.0003383
362,361,-0.57907146,0.50435567,1.0010042
363,362,0.9940382,0.50098056,1.0004361
364,363,-0.3667784,0.5002767,1.0016483
365,364,0.5844017,0.504152,0.99732125
366,365,0.37428936,0.49794403,1.0017353
367,366,0.17959541,0.4998221,0.99990094
368,367,0.6021638,0.4970489,1.0001606
369,368,0.7695455,0.49488184,1.0026854
370,369,0.31264016,0.5000476,1.0025761
371,370,-0.7921899,0.50212204,0.99794203
372,371,0.47385678,0.49875683,1.0004759
373,372,-0.7606243,0.50684136,1.0016985
374,373,0.8279243,0.49678186,1.0009764
375,374,-1.4583155,0.4990082,0.9967934
376,375,-1.1875,0.5086194,0.9999411
377,376,0.1889764,0.49693796,0.9994597
378,377,1.1881366,0.49431336,1.0006561
379,378,0.9317043,0.49764982,1.0002824
380,379,-0.25820667,0.4969676,1.0002729
381,380,0.4867665,0.5029001,1.0019888
382,381,0.47519436,0.5030702,0.99868643
383,382,-0.28929082,0.49468598,0.9993017
384,383,-1.0770363,0.5042464,1.0001466
385,384,-0.71507734,0.50485504,1.0002407
386,385,0.7777448,0.50396377,0.9986418
387,386,1.2325872,0.49728507,1.0001154
388,387,1.2111875,0.49733648,1.0002435
389,388,-0.58497477,0.50009066,1.0008234
390,389,-0.32220957,0.5033336,0.9989306
391,390,-0.72748286,0.49663472,0.99846435
392,391,-0.03738528,0.50073576,1.0016148
393,392,0.17276295,0.49170634,1.0001352
394,393,-0.09591584,0.49928102,1.0009654
395,394,1.3198085,0.5040974,1.0004566
396,395,0.51701146,0.5029662,0.999207
397,396,-1.1610081,0.50390047,0.99881065
398,397,0.37050772,0.50251514,1.0023122
399,398,-0.157604,0.50617,1.0012788
400,399,0.23684475,0.4981971,0.9987124
401,400,0.41792423,0.4997945,1.0005709
402,401,-1.2090957,0.50201994,1.0006092
403,402,0.066646434,0.50216067,0.99806815
404,403,-0.7596511,0.5000995,1.0024061
405,404,1.4449793,0.49765292,1.0004013
406,405,-0.11677043,0.50298023,0.9996241
407,406,-0.7069073,0.5051723,1.0016092
408,407,0.5736691,0.50296974,0.99921983
409,408,1.617299,0.49992666,0.9993089
410,409,0.5972895,0.49895906,1.0010911
411,410,0.360179,0.4978095,1.0013381
