id,sid,theta,k,c
372,371,-0.2134122,0.50509363,0.9970531
373,372,-0.8773882,0.49405038,0.9976477
374,373,0.88093585,0.49525657,1.0012764
375,374,-0.84000206,0.508981,0.99997747
376,375,-1.8514862,0.5047563,0.99932134
377,376,-0.051743705,0.5069373,1.001699
378,377,1.0024872,0.49364647,1.0002016
379,378,1.4896082,0.50298846,1.0012076
380,379,-0.11077565,0.49630073,0.9994038
381,380,0.7294573,0.49407595,1.0020931
382,381,-0.096714586,0.5011898,1.0000379
383,382,-0.051171795,0.49448305,1.0013094
384,383,-0.38012493,0.5035794,0.9983023
385,384,-0.4672375,0.5070825,1.0045371
386,385,0.72600704,0.49151236,1.0013076
387,386,0.9355882,0.4976995,0.9996232
388,387,1.5599543,0.4926932,1.0008119
389,388,-0.9044273,0.48922694,1.0009997
390,389,0.19183984,0.49597445,1.0026244
391,390,-0.5876412,0.49968287,0.9990347
392,391,0.21500541,0.49909312,1.0017817
393,392,0.5439695,0.49720487,1.0011197
394,393,-0.6196893,0.50251627,0.9991367
395,394,1.2291062,0.4997283,1.0016683
396,395,0.6571472,0.49583822,1.0006412
397,396,-0.88231826,0.5045561,0.9994148
398,397,0.22492902,0.50168884,1.0002137
399,398,-0.11057347,0.50878835,1.0015744
400,399,0.35564747,0.50149864,0.99705315
401,400,0.7221157,0.4957159,0.9995408
402,401,-0.88872445,0.5030474,0.99882674
403,402,0.11339503,0.48755413,0.99989474
404,403,-0.8449206,0.49891448,1.0003811
405,404,1.2349491,0.4929728,0.9996403
406,405,0.064935595,0.499844,0.9991251
407,406,-0.73239195,0.49739012,1.0005128
408,407,0.4356559,0.49582386,0.998723
409,408,0.5922989,0.49163476,1.0016001
410,409,0.7463024,0.4963921,0.9960407
411,410,0.34480628,0.4998045,1.0000488
412,411,-0.00046835744,0.5019639,1.0003349
413,412,-0.096788466,0.50455683,0.999222
414,413,-2.5031939,0.50587934,0.9999231
415,414,-0.21215492,0.5067933,0.9981465
416,415,0.8634199,0.49795496,0.9948752
417,416,-0.39226735,0.5035566,1.0003402
418,417,-1.1635175,0.5117378,1.0013939
419,418,-0.15619412,0.49908036,1.0022368
420,419,-0.10957695,0.5013525,1.0027831
421,420,0.1485035,0.49660528,1.0016904
422,421,0.1122332,0.49946967,1.0009129
423,422,-0.32485813,0.5045763,0.9999002
424,423,-0.4696074,0.495648,1.0021975
425,424,-0.78211796,0.49595007,1.0018091
426,425,0.8062317,0.49216214,1.0016412
427,426,0.25298056,0.49718451,0.99662423
428,427,0.31629348,0.49903512,0.9990504
429,428,-1.1481831,0.50846523,1.0014502
430,429,0.6647938,0.5014026,1.0011986
431,430,1.2931672,0.48907492,0.99908286
432,431,1.1545738,0.49662903,1.001964
433,432,-1.2506585,0.4979155,1.0005442
434,433,-1.0223176,0.504838,1.0005081
435,434,0.97746444,0.4929562,0.99864966
436,435,0.54977816,0.50329584,1.0021335
437,436,-0.11767129,0.48771593,0.99966246
438,437,-0.5361323,0.5059557,0.9982269
439,438,-0.058448367,0.49954745,0.998043
440,439,1.4757847,0.4978776,1.0018407
441,440,0.46131793,0.49924466,1.0000964
442,441,-0.5368557,0.4958249,1.0017239
443,442,0.44030622,0.49814376,0.99946517
444,443,0.12286546,0.49281004,1.0019954
445,444,-0.036878724,0.49029675,1.0012424
446,445,-0.019456612,0.50051963,1.000421
447,446,-0.17583364,0.49531212,0.9995447
448,447,1.5528815,0.48700863,1.0003893
449,448,-0.61188996,0.4900179,1.0027213
450,449,0.026997715,0.5019608,0.99769825
451,450,0.0028710922,0.49887583,0.9981652
452,451,-0.32443383,0.5105206,0.9999415
453,452,0.33416715,0.4926726,0.9993518
454,453,-1.2799107,0.51065415,1.0003012
455,454,1.4106823,0.49690062,1.0003848
456,455,-0.53010917,0.5041191,1.0027136
457,456,0.5115637,0.49106705,0.9988863
458,457,-0.8880249,0.50819075,1.0002341
459,458,0.5843167,0.5110856,1.0005153
460,459,0.17462505,0.498911,0.99800104
461,460,0.4044829,0.5054596,0.9984267
462,461,0.18436004,0.49289894,1.0021927
463,462,-0.3209572,0.49883482,1.0014263
464,463,-0.97590774,0.49741542,0.997357
465,464,-0.7229061,0.503993,0.9979468
466,465,0.60204244,0.49657416,1.0003241
467,466,-0.49639535,0.50545985,1.0001929
468,467,0.10629666,0.49995875,0.9993269
469,468,0.7250455,0.49115175,1.0032469
470,469,1.9261545,0.4949685,1.0005347
471,470,1.2467076,0.4938736,1.000597
472,471,-0.22930542,0.51324385,0.9986948
473,472,0.08536584,0.5032368,0.9995656
474,473,-0.35534334,0.49705228,1.0011038
475,474,0.69147885,0.5062035,0.99999136
476,475,-0.74024206,0.50277734,1.0029824
477,476,0.68288094,0.49654427,0.9990599
